group,sample_id,model,label,kind,note,settings,text,path,source_wav_not_included
同一文モデル比較,similarity_h4n_005,irodori-500m,Irodori-TTS 500M,sample,,,はい、では次に、数字と固有名詞を含む文章をもう一度確認しましょう。,audio/same-text/005_irodori-500m.mp3,outputs/similarity_eval/irodori/irodori_500m_v3_h4n_ref20s_steps24_similarity_h4n_005.wav
同一文モデル比較,similarity_h4n_005,irodori-600m-voicedesign,Irodori-TTS 600M VoiceDesign,sample,,,はい、では次に、数字と固有名詞を含む文章をもう一度確認しましょう。,audio/same-text/005_irodori-600m-voicedesign.mp3,outputs/similarity_eval/irodori/irodori_600m_v3_voicedesign_h4n_ref20s_steps24_similarity_h4n_005.wav
同一文モデル比較,similarity_h4n_005,qwen3-tts-1p7b,Qwen3-TTS 1.7B,sample,,,はい、では次に、数字と固有名詞を含む文章をもう一度確認しましょう。,audio/same-text/005_qwen3-tts-1p7b.mp3,outputs/similarity_eval/qwen3-tts/qwen3_1p7b_h4n_ref20s_neutral_091_094_t0.65_p0.75_cap192_similarity_h4n_005.wav
同一文モデル比較,similarity_h4n_005,fish-speech-s2,Fish Speech S2 Pro,sample,,,はい、では次に、数字と固有名詞を含む文章をもう一度確認しましょう。,audio/same-text/005_fish-speech-s2.mp3,outputs/similarity_eval/fish_speech/fish_s2_h4n_ref10s_similarity_h4n_005.wav
同一文モデル比較,similarity_h4n_005,cosyvoice2,CosyVoice2,sample,,,はい、では次に、数字と固有名詞を含む文章をもう一度確認しましょう。,audio/same-text/005_cosyvoice2.mp3,outputs/similarity_eval/cosyvoice2/cosyvoice2_h4n_ref20s_similarity_same_text_s1p00_similarity_h4n_005.wav
同一文モデル比較,similarity_h4n_005,voxcpm2-ultimate,VoxCPM2 ultimate,sample,,,はい、では次に、数字と固有名詞を含む文章をもう一度確認しましょう。,audio/same-text/005_voxcpm2-ultimate.mp3,outputs/similarity_eval/voxcpm/voxcpm2_h4n_ref20s_neutral_091_094_ultimate_cfg2.0_ts10_similarity_h4n_005.wav
同一文モデル比較,similarity_h4n_026,irodori-500m,Irodori-TTS 500M,sample,,,RTX 5060 Ti、VRAM 16GB、CUDA、Python、PyTorch を確認します。,audio/same-text/026_irodori-500m.mp3,outputs/similarity_eval/irodori/irodori_500m_v3_h4n_ref20s_steps24_similarity_h4n_026.wav
同一文モデル比較,similarity_h4n_026,irodori-600m-voicedesign,Irodori-TTS 600M VoiceDesign,sample,,,RTX 5060 Ti、VRAM 16GB、CUDA、Python、PyTorch を確認します。,audio/same-text/026_irodori-600m-voicedesign.mp3,outputs/similarity_eval/irodori/irodori_600m_v3_voicedesign_h4n_ref20s_steps24_similarity_h4n_026.wav
同一文モデル比較,similarity_h4n_026,qwen3-tts-1p7b,Qwen3-TTS 1.7B,sample,,,RTX 5060 Ti、VRAM 16GB、CUDA、Python、PyTorch を確認します。,audio/same-text/026_qwen3-tts-1p7b.mp3,outputs/similarity_eval/qwen3-tts/qwen3_1p7b_h4n_ref20s_neutral_091_094_t0.65_p0.75_cap224_similarity_h4n_026.wav
同一文モデル比較,similarity_h4n_026,fish-speech-s2,Fish Speech S2 Pro,sample,,,RTX 5060 Ti、VRAM 16GB、CUDA、Python、PyTorch を確認します。,audio/same-text/026_fish-speech-s2.mp3,outputs/similarity_eval/fish_speech/fish_s2_h4n_ref10s_similarity_h4n_026.wav
同一文モデル比較,similarity_h4n_026,cosyvoice2,CosyVoice2,sample,,,RTX 5060 Ti、VRAM 16GB、CUDA、Python、PyTorch を確認します。,audio/same-text/026_cosyvoice2.mp3,outputs/similarity_eval/cosyvoice2/cosyvoice2_h4n_ref20s_similarity_same_text_s1p00_similarity_h4n_026.wav
